Fecha,SinTTP,ConTTP
01-01-2015,14.910,12.720
30-06-2015,23.473,22.608
01-07-2015,23.575,22.718
31-12-2015,30.253,30.582
01-01-2016,30.274,30.612
30-06-2016,33.392,34.501
01-07-2016,33.408,34.525
31-12-2016,30.492,33.050
01-01-2017,30.490,33.048
30-06-2017,30.795,34.005
01-07-2017,30.828,34.045
31-12-2017,29.283,35.559
01-01-2018,29.287,35.583
30-06-2018,28.091,37.667
01-07-2018,28.110,37.710
31-12-2018,25.845,39.877
01-01-2019,25.854,39.910
30-06-2019,25.107,41.665
01-07-2019,25.098,41.648
31-12-2019,23.016,39.169
01-01-2020,23.014,39.193
30-06-2020,25.939,50.729
01-07-2020,25.929,50.734
31-12-2020,26.995,50.468
01-01-2021,26.999,50.464
31-03-2021,27.912,50.731
